feature,shap_value,signed_effect,perspective_team
elo_diff,0.152705,positive,SEA
travel_miles_diff,-0.089804,negative,SEA
ewm_net_pts_diff,-0.088931,negative,SEA
elo_home,0.081204,positive,SEA
ewm_net_pts_home,0.059053,positive,SEA
ewm_ypp_diff,-0.056491,negative,SEA
win_pct_home,0.033736,positive,SEA
ewm_ypp_home,0.019032,positive,SEA
altitude_home,-0.015859,negative,SEA
elo_away,-0.013988,negative,SEA
ewm_net_pts_away,-0.013476,negative,SEA
rest_days_away,-0.012579,negative,SEA
pace_plays_min_diff,-0.010966,negative,SEA
prime_time,0.009612,positive,SEA
is_dome_home,0.00757,positive,SEA
ewm_ypp_away,-0.004893,negative,SEA
rest_days_diff,-0.003932,negative,SEA
win_pct_away,-0.002893,negative,SEA
div_game,0.001775,positive,SEA
win_pct_diff,-0.001632,negative,SEA
rest_days_home,-0.001106,negative,SEA
rest_short_diff,-0.000332,negative,SEA
