feature,shap_value,signed_effect,perspective_team
elo_diff,0.125444,positive,HOU
win_pct_diff,0.116905,positive,HOU
ewm_ypp_away,-0.11244,negative,HOU
ewm_ypp_diff,-0.045905,negative,HOU
ewm_net_pts_home,0.044592,positive,HOU
travel_miles_diff,0.044008,positive,HOU
win_pct_home,0.033278,positive,HOU
ewm_net_pts_diff,-0.033001,negative,HOU
pace_plays_min_diff,-0.025467,negative,HOU
ewm_ypp_home,-0.024862,negative,HOU
elo_home,0.019234,positive,HOU
altitude_home,-0.018389,negative,HOU
elo_away,0.014534,positive,HOU
ewm_net_pts_away,-0.008846,negative,HOU
rest_days_away,0.003875,positive,HOU
rest_days_home,0.002899,positive,HOU
rest_days_diff,-0.002736,negative,HOU
prime_time,-0.001785,negative,HOU
win_pct_away,0.001221,positive,HOU
div_game,0.001143,positive,HOU
rest_short_diff,-0.000832,negative,HOU
is_dome_home,0.00072,positive,HOU
