feature,shap_value,signed_effect,perspective_team
elo_diff,0.174292,positive,TB
ewm_ypp_away,0.082852,positive,TB
ewm_net_pts_diff,-0.057167,negative,TB
ewm_ypp_diff,0.051253,positive,TB
elo_home,0.047906,positive,TB
travel_miles_diff,0.041565,positive,TB
pace_plays_min_diff,0.035187,positive,TB
ewm_net_pts_away,0.024272,positive,TB
elo_away,0.020435,positive,TB
ewm_net_pts_home,-0.016132,negative,TB
win_pct_home,-0.009611,negative,TB
altitude_home,-0.009067,negative,TB
ewm_ypp_home,-0.007908,negative,TB
win_pct_diff,0.006899,positive,TB
win_pct_away,0.006678,positive,TB
rest_days_away,0.006308,positive,TB
is_dome_home,0.004062,positive,TB
rest_days_home,0.002318,positive,TB
prime_time,-0.001607,negative,TB
rest_days_diff,-0.000897,negative,TB
div_game,0.000798,positive,TB
rest_short_diff,-0.000169,negative,TB
