feature,shap_value,signed_effect,perspective_team
elo_diff,0.13619,positive,DEN
ewm_net_pts_diff,-0.124162,negative,DEN
ewm_ypp_away,-0.080288,negative,DEN
elo_home,0.069402,positive,DEN
ewm_net_pts_home,0.056857,positive,DEN
win_pct_home,0.038048,positive,DEN
ewm_ypp_diff,-0.027335,negative,DEN
win_pct_away,-0.024791,negative,DEN
win_pct_diff,0.017507,positive,DEN
ewm_net_pts_away,-0.01604,negative,DEN
is_dome_home,0.012976,positive,DEN
ewm_ypp_home,-0.012461,negative,DEN
pace_plays_min_diff,-0.010606,negative,DEN
altitude_home,-0.008443,negative,DEN
rest_short_diff,0.007318,positive,DEN
travel_miles_diff,0.005347,positive,DEN
rest_days_home,0.005102,positive,DEN
prime_time,-0.003264,negative,DEN
rest_days_away,0.002668,positive,DEN
elo_away,-0.002401,negative,DEN
rest_days_diff,0.002174,positive,DEN
div_game,0.001465,positive,DEN
