feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,-0.114218,negative,GB
elo_diff,0.109731,positive,GB
ewm_net_pts_home,-0.054334,negative,GB
ewm_ypp_away,0.046504,positive,GB
elo_home,0.04588,positive,GB
elo_away,0.042672,positive,GB
altitude_home,0.033711,positive,GB
pace_plays_min_diff,-0.031063,negative,GB
win_pct_away,0.013919,positive,GB
ewm_ypp_home,-0.010796,negative,GB
win_pct_diff,-0.009832,negative,GB
ewm_net_pts_away,-0.007819,negative,GB
rest_days_away,0.007629,positive,GB
ewm_ypp_diff,-0.007482,negative,GB
is_dome_home,0.005687,positive,GB
rest_days_home,0.005619,positive,GB
prime_time,0.004904,positive,GB
win_pct_home,-0.004408,negative,GB
travel_miles_diff,0.003879,positive,GB
rest_days_diff,-0.000702,negative,GB
div_game,0.00055,positive,GB
rest_short_diff,1.1e-05,positive,GB
