feature,shap_value,signed_effect,perspective_team
ewm_ypp_away,0.104508,positive,CLE
elo_home,-0.083651,negative,CLE
travel_miles_diff,0.074893,positive,CLE
ewm_ypp_diff,-0.071571,negative,CLE
elo_diff,0.054923,positive,CLE
ewm_net_pts_diff,-0.02414,negative,CLE
ewm_ypp_home,-0.022218,negative,CLE
elo_away,0.017449,positive,CLE
pace_plays_min_diff,-0.016275,negative,CLE
ewm_net_pts_away,0.01609,positive,CLE
altitude_home,-0.010409,negative,CLE
win_pct_diff,0.007182,positive,CLE
win_pct_home,-0.007061,negative,CLE
rest_days_home,0.005838,positive,CLE
rest_days_away,0.004865,positive,CLE
is_dome_home,0.003487,positive,CLE
win_pct_away,0.003036,positive,CLE
div_game,0.002407,positive,CLE
rest_short_diff,-0.000671,negative,CLE
ewm_net_pts_home,-0.000432,negative,CLE
rest_days_diff,-0.000409,negative,CLE
prime_time,1.1e-05,positive,CLE
