feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.137081,positive,NO
ewm_ypp_diff,0.136607,positive,NO
ewm_ypp_away,0.127542,positive,NO
elo_away,0.105307,positive,NO
win_pct_diff,0.091593,positive,NO
elo_home,-0.074291,negative,NO
travel_miles_diff,0.070603,positive,NO
elo_diff,0.061126,positive,NO
ewm_net_pts_home,0.035192,positive,NO
ewm_net_pts_away,0.02849,positive,NO
win_pct_away,0.018662,positive,NO
ewm_ypp_home,0.014261,positive,NO
is_dome_home,-0.01137,negative,NO
rest_days_away,0.007759,positive,NO
win_pct_home,0.007496,positive,NO
pace_plays_min_diff,-0.006046,negative,NO
rest_days_home,0.005176,positive,NO
altitude_home,-0.004719,negative,NO
div_game,0.003876,positive,NO
prime_time,-0.000742,negative,NO
rest_short_diff,-0.000492,negative,NO
rest_days_diff,0.000446,positive,NO
