feature,shap_value,signed_effect,perspective_team
elo_diff,-0.093653,negative,SF
ewm_net_pts_diff,-0.078207,negative,SF
ewm_net_pts_home,0.063834,positive,SF
pace_plays_min_diff,-0.058619,negative,SF
elo_away,-0.046656,negative,SF
ewm_ypp_away,0.044432,positive,SF
ewm_ypp_diff,0.039171,positive,SF
elo_home,0.033679,positive,SF
ewm_ypp_home,0.02816,positive,SF
altitude_home,-0.0263,negative,SF
win_pct_away,-0.025811,negative,SF
travel_miles_diff,0.022992,positive,SF
win_pct_home,0.022932,positive,SF
win_pct_diff,-0.008471,negative,SF
rest_days_home,0.007204,positive,SF
is_dome_home,0.006289,positive,SF
rest_days_away,0.005586,positive,SF
prime_time,-0.003751,negative,SF
div_game,0.002501,positive,SF
ewm_net_pts_away,-0.001978,negative,SF
rest_days_diff,-0.00105,negative,SF
rest_short_diff,-0.000235,negative,SF
