feature,shap_value,signed_effect,perspective_team
ewm_ypp_away,0.118103,positive,WAS
elo_home,-0.064976,negative,WAS
travel_miles_diff,0.06042,positive,WAS
ewm_ypp_diff,0.055445,positive,WAS
elo_away,0.037908,positive,WAS
ewm_net_pts_diff,0.036989,positive,WAS
elo_diff,0.036936,positive,WAS
ewm_net_pts_away,0.029994,positive,WAS
ewm_net_pts_home,-0.016837,negative,WAS
win_pct_home,-0.015882,negative,WAS
win_pct_away,0.015385,positive,WAS
pace_plays_min_diff,-0.012804,negative,WAS
win_pct_diff,0.01144,positive,WAS
rest_days_home,0.005929,positive,WAS
rest_days_away,0.00487,positive,WAS
altitude_home,-0.004167,negative,WAS
is_dome_home,0.003852,positive,WAS
div_game,0.002867,positive,WAS
prime_time,-0.000645,negative,WAS
rest_short_diff,-0.000604,negative,WAS
ewm_ypp_home,-0.000384,negative,WAS
rest_days_diff,-0.000306,negative,WAS
