feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.158988,positive,SEA
ewm_ypp_away,0.146063,positive,SEA
elo_diff,0.14005,positive,SEA
win_pct_diff,0.070337,positive,SEA
ewm_net_pts_home,0.058136,positive,SEA
elo_away,-0.049202,negative,SEA
elo_home,0.037474,positive,SEA
travel_miles_diff,0.037376,positive,SEA
pace_plays_min_diff,-0.03123,negative,SEA
ewm_ypp_diff,0.023971,positive,SEA
ewm_net_pts_away,0.021003,positive,SEA
win_pct_away,-0.02033,negative,SEA
ewm_ypp_home,0.019417,positive,SEA
altitude_home,-0.019055,negative,SEA
win_pct_home,0.017402,positive,SEA
rest_days_away,0.011528,positive,SEA
is_dome_home,0.008168,positive,SEA
prime_time,-0.004108,negative,SEA
rest_days_home,0.003709,positive,SEA
div_game,0.002406,positive,SEA
rest_days_diff,-0.000296,negative,SEA
rest_short_diff,-0.00021,negative,SEA
