feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.134214,positive,MIN
elo_diff,0.106247,positive,MIN
ewm_ypp_diff,-0.073623,negative,MIN
ewm_net_pts_home,0.05973,positive,MIN
ewm_ypp_away,0.051263,positive,MIN
elo_away,0.037097,positive,MIN
travel_miles_diff,0.035598,positive,MIN
altitude_home,0.029384,positive,MIN
ewm_ypp_home,-0.020938,negative,MIN
is_dome_home,-0.020117,negative,MIN
pace_plays_min_diff,0.017808,positive,MIN
ewm_net_pts_away,0.017429,positive,MIN
elo_home,0.015089,positive,MIN
win_pct_away,0.010694,positive,MIN
win_pct_home,0.006754,positive,MIN
rest_days_away,0.006043,positive,MIN
win_pct_diff,-0.004332,negative,MIN
rest_days_home,0.003946,positive,MIN
prime_time,-0.002354,negative,MIN
div_game,0.001519,positive,MIN
rest_days_diff,-0.00132,negative,MIN
rest_short_diff,-0.000163,negative,MIN
