feature,shap_value,signed_effect,perspective_team
win_pct_diff,-0.124775,negative,LAC
elo_diff,-0.086083,negative,LAC
ewm_net_pts_diff,-0.073168,negative,LAC
pace_plays_min_diff,0.052087,positive,LAC
elo_away,-0.04706,negative,LAC
elo_home,0.045868,positive,LAC
ewm_ypp_diff,-0.033614,negative,LAC
win_pct_away,-0.032315,negative,LAC
ewm_ypp_away,0.031337,positive,LAC
is_dome_home,-0.029172,negative,LAC
ewm_ypp_home,-0.020784,negative,LAC
win_pct_home,0.013069,positive,LAC
altitude_home,-0.008828,negative,LAC
ewm_net_pts_away,-0.007442,negative,LAC
ewm_net_pts_home,-0.006582,negative,LAC
rest_days_home,0.004183,positive,LAC
prime_time,-0.003906,negative,LAC
rest_days_away,0.003804,positive,LAC
rest_days_diff,-0.001639,negative,LAC
div_game,-0.001615,negative,LAC
travel_miles_diff,-0.0015,negative,LAC
rest_short_diff,-0.000137,negative,LAC
