feature,shap_value,signed_effect,perspective_team
elo_diff,-0.10403,negative,TEN
win_pct_diff,-0.084246,negative,TEN
ewm_net_pts_diff,-0.079772,negative,TEN
ewm_net_pts_home,-0.065412,negative,TEN
ewm_ypp_diff,-0.049504,negative,TEN
elo_away,-0.043341,negative,TEN
ewm_ypp_away,0.042433,positive,TEN
pace_plays_min_diff,0.04187,positive,TEN
elo_home,0.025456,positive,TEN
ewm_ypp_home,-0.018273,negative,TEN
travel_miles_diff,0.017443,positive,TEN
ewm_net_pts_away,0.014408,positive,TEN
is_dome_home,0.01403,positive,TEN
win_pct_home,-0.011103,negative,TEN
altitude_home,-0.007778,negative,TEN
rest_days_home,0.006659,positive,TEN
rest_days_away,0.004521,positive,TEN
prime_time,-0.002211,negative,TEN
win_pct_away,-0.00166,negative,TEN
div_game,-0.000516,negative,TEN
rest_short_diff,-0.000193,negative,TEN
rest_days_diff,-1.7e-05,negative,TEN
