feature,shap_value,signed_effect,perspective_team
ewm_ypp_away,0.14876,positive,NO
elo_diff,-0.124384,negative,NO
ewm_net_pts_diff,-0.103111,negative,NO
travel_miles_diff,0.074415,positive,NO
ewm_ypp_diff,0.071108,positive,NO
ewm_net_pts_home,0.059529,positive,NO
elo_away,-0.054581,negative,NO
elo_home,-0.049722,negative,NO
pace_plays_min_diff,0.049034,positive,NO
ewm_ypp_home,0.028788,positive,NO
win_pct_home,0.02155,positive,NO
is_dome_home,-0.020149,negative,NO
win_pct_diff,-0.01237,negative,NO
rest_short_diff,0.0109,positive,NO
altitude_home,-0.010682,negative,NO
rest_days_home,0.006752,positive,NO
rest_days_away,0.0058,positive,NO
prime_time,-0.005397,negative,NO
ewm_net_pts_away,-0.002849,negative,NO
win_pct_away,-0.002287,negative,NO
div_game,0.002107,positive,NO
rest_days_diff,-0.001905,negative,NO
