feature,shap_value,signed_effect,perspective_team
elo_diff,0.114659,positive,WAS
elo_away,0.096215,positive,WAS
ewm_net_pts_diff,-0.082591,negative,WAS
travel_miles_diff,0.062328,positive,WAS
elo_home,-0.057777,negative,WAS
ewm_ypp_away,0.056187,positive,WAS
pace_plays_min_diff,0.048344,positive,WAS
ewm_ypp_diff,-0.038817,negative,WAS
altitude_home,-0.010764,negative,WAS
is_dome_home,0.00921,positive,WAS
ewm_net_pts_home,-0.006506,negative,WAS
win_pct_diff,-0.005026,negative,WAS
win_pct_home,-0.004847,negative,WAS
rest_days_home,0.004654,positive,WAS
win_pct_away,0.003969,positive,WAS
rest_days_away,0.002891,positive,WAS
div_game,-0.00254,negative,WAS
ewm_ypp_home,0.001283,positive,WAS
ewm_net_pts_away,-0.001187,negative,WAS
rest_days_diff,0.000798,positive,WAS
rest_short_diff,-0.000421,negative,WAS
prime_time,-0.000313,negative,WAS
