feature,shap_value,signed_effect,perspective_team
elo_diff,-0.164257,negative,JAX
ewm_net_pts_diff,0.152326,positive,JAX
ewm_net_pts_home,0.111619,positive,JAX
win_pct_diff,0.10797,positive,JAX
ewm_ypp_away,0.082778,positive,JAX
elo_away,-0.066618,negative,JAX
pace_plays_min_diff,0.060575,positive,JAX
travel_miles_diff,0.053921,positive,JAX
ewm_ypp_diff,0.040373,positive,JAX
win_pct_home,0.029347,positive,JAX
elo_home,0.016662,positive,JAX
ewm_net_pts_away,-0.014989,negative,JAX
win_pct_away,0.011083,positive,JAX
is_dome_home,0.011035,positive,JAX
altitude_home,-0.008962,negative,JAX
ewm_ypp_home,0.00799,positive,JAX
rest_days_away,0.007228,positive,JAX
rest_days_home,0.006327,positive,JAX
prime_time,-0.00413,negative,JAX
div_game,0.003068,positive,JAX
rest_days_diff,-0.002048,negative,JAX
rest_short_diff,-1.7e-05,negative,JAX
