feature,shap_value,signed_effect,perspective_team
elo_diff,0.14486,positive,SEA
ewm_ypp_away,-0.123864,negative,SEA
ewm_net_pts_diff,0.097795,positive,SEA
ewm_net_pts_home,0.063926,positive,SEA
elo_home,0.051701,positive,SEA
elo_away,-0.042574,negative,SEA
ewm_ypp_diff,-0.039551,negative,SEA
altitude_home,-0.026817,negative,SEA
pace_plays_min_diff,0.026328,positive,SEA
win_pct_away,-0.021552,negative,SEA
win_pct_home,0.020677,positive,SEA
ewm_net_pts_away,-0.016909,negative,SEA
win_pct_diff,0.015302,positive,SEA
ewm_ypp_home,0.014222,positive,SEA
is_dome_home,0.012867,positive,SEA
rest_days_away,0.00526,positive,SEA
prime_time,-0.004593,negative,SEA
div_game,-0.003566,negative,SEA
rest_days_home,0.002929,positive,SEA
rest_days_diff,-0.002095,negative,SEA
travel_miles_diff,0.001554,positive,SEA
rest_short_diff,-0.00075,negative,SEA
