feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.179735,positive,LA
elo_away,0.114429,positive,LA
win_pct_diff,0.085301,positive,LA
ewm_ypp_away,0.053204,positive,LA
ewm_net_pts_home,0.052727,positive,LA
ewm_ypp_diff,0.051766,positive,LA
win_pct_away,0.049188,positive,LA
elo_diff,0.047562,positive,LA
is_dome_home,-0.022368,negative,LA
pace_plays_min_diff,0.021203,positive,LA
travel_miles_diff,-0.015371,negative,LA
elo_home,-0.014333,negative,LA
win_pct_home,0.010422,positive,LA
rest_days_away,0.008569,positive,LA
rest_short_diff,0.006874,positive,LA
ewm_ypp_home,0.006591,positive,LA
rest_days_home,0.005108,positive,LA
altitude_home,-0.004443,negative,LA
div_game,-0.003984,negative,LA
ewm_net_pts_away,0.001551,positive,LA
rest_days_diff,0.001153,positive,LA
prime_time,8e-06,positive,LA
