feature,shap_value,signed_effect,perspective_team
elo_diff,-0.168392,negative,CLE
elo_home,-0.092612,negative,CLE
pace_plays_min_diff,0.082847,positive,CLE
ewm_ypp_diff,-0.079367,negative,CLE
ewm_net_pts_diff,-0.065899,negative,CLE
elo_away,-0.063458,negative,CLE
travel_miles_diff,0.044203,positive,CLE
ewm_ypp_away,-0.040912,negative,CLE
ewm_net_pts_away,-0.020259,negative,CLE
win_pct_away,0.013178,positive,CLE
win_pct_diff,-0.010307,negative,CLE
is_dome_home,0.01007,positive,CLE
altitude_home,-0.00778,negative,CLE
ewm_net_pts_home,0.005092,positive,CLE
div_game,-0.004867,negative,CLE
win_pct_home,0.004861,positive,CLE
rest_days_away,0.003912,positive,CLE
rest_days_home,0.003234,positive,CLE
prime_time,-0.001574,negative,CLE
rest_days_diff,-0.001453,negative,CLE
ewm_ypp_home,-0.000896,negative,CLE
rest_short_diff,-0.00061,negative,CLE
