feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.131122,positive,PHI
ewm_ypp_away,0.060844,positive,PHI
ewm_ypp_home,-0.039315,negative,PHI
rest_days_away,-0.036517,negative,PHI
ewm_ypp_diff,0.03637,positive,PHI
pace_plays_min_diff,0.031318,positive,PHI
rest_days_diff,-0.02348,negative,PHI
travel_miles_diff,-0.022569,negative,PHI
altitude_home,-0.019645,negative,PHI
elo_home,0.017389,positive,PHI
ewm_net_pts_away,0.016511,positive,PHI
win_pct_diff,0.009889,positive,PHI
is_dome_home,0.008199,positive,PHI
elo_away,0.005839,positive,PHI
win_pct_away,-0.005709,negative,PHI
elo_diff,-0.003288,negative,PHI
rest_days_home,0.002441,positive,PHI
div_game,0.002233,positive,PHI
win_pct_home,-0.000593,negative,PHI
rest_short_diff,-0.000553,negative,PHI
prime_time,-0.000522,negative,PHI
ewm_net_pts_home,0.000178,positive,PHI
