feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.158763,positive,JAX
elo_diff,-0.112682,negative,JAX
ewm_net_pts_home,0.106961,positive,JAX
ewm_ypp_away,0.080409,positive,JAX
pace_plays_min_diff,0.062405,positive,JAX
elo_away,-0.057415,negative,JAX
ewm_ypp_diff,0.046173,positive,JAX
win_pct_away,-0.030336,negative,JAX
win_pct_home,0.026661,positive,JAX
ewm_net_pts_away,-0.016675,negative,JAX
ewm_ypp_home,0.016504,positive,JAX
is_dome_home,0.011079,positive,JAX
elo_home,0.009087,positive,JAX
rest_days_home,0.006906,positive,JAX
rest_days_away,0.006793,positive,JAX
div_game,-0.006266,negative,JAX
prime_time,-0.00412,negative,JAX
altitude_home,-0.003697,negative,JAX
win_pct_diff,-0.002715,negative,JAX
travel_miles_diff,0.001671,positive,JAX
rest_days_diff,-0.001346,negative,JAX
rest_short_diff,-3.2e-05,negative,JAX
