feature,shap_value,signed_effect,perspective_team
ewm_ypp_diff,0.18303,positive,NE
ewm_net_pts_diff,0.179421,positive,NE
elo_diff,0.118076,positive,NE
ewm_net_pts_home,0.113634,positive,NE
win_pct_diff,0.109059,positive,NE
ewm_ypp_away,0.09806,positive,NE
ewm_ypp_home,0.097378,positive,NE
elo_away,0.093205,positive,NE
win_pct_away,0.036632,positive,NE
travel_miles_diff,0.034027,positive,NE
elo_home,0.026709,positive,NE
pace_plays_min_diff,0.022532,positive,NE
ewm_net_pts_away,-0.020782,negative,NE
win_pct_home,0.011001,positive,NE
rest_days_away,0.009199,positive,NE
is_dome_home,0.008011,positive,NE
rest_days_home,0.004406,positive,NE
div_game,-0.003409,negative,NE
prime_time,-0.001015,negative,NE
rest_days_diff,-0.000884,negative,NE
altitude_home,0.00086,positive,NE
rest_short_diff,-0.000194,negative,NE
