feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.1613,positive,SF
elo_diff,0.102739,positive,SF
win_pct_diff,0.083138,positive,SF
pace_plays_min_diff,0.047785,positive,SF
ewm_ypp_away,0.047086,positive,SF
ewm_net_pts_home,0.043592,positive,SF
ewm_ypp_diff,0.038862,positive,SF
travel_miles_diff,-0.037421,negative,SF
elo_home,0.032927,positive,SF
elo_away,0.029535,positive,SF
altitude_home,-0.026022,negative,SF
ewm_net_pts_away,0.023076,positive,SF
win_pct_home,0.011655,positive,SF
rest_days_home,-0.01133,negative,SF
is_dome_home,0.009012,positive,SF
prime_time,0.005647,positive,SF
rest_days_away,-0.003241,negative,SF
ewm_ypp_home,0.002894,positive,SF
div_game,0.002667,positive,SF
rest_days_diff,-0.00201,negative,SF
win_pct_away,-0.001456,negative,SF
rest_short_diff,-0.0001,negative,SF
