feature,shap_value,signed_effect,perspective_team
elo_diff,-0.104912,negative,ARI
ewm_net_pts_home,-0.093969,negative,ARI
win_pct_diff,-0.082837,negative,ARI
ewm_net_pts_diff,-0.082615,negative,ARI
elo_away,-0.049808,negative,ARI
ewm_ypp_away,0.039162,positive,ARI
pace_plays_min_diff,0.029409,positive,ARI
win_pct_home,-0.021708,negative,ARI
travel_miles_diff,0.021623,positive,ARI
altitude_home,-0.01953,negative,ARI
elo_home,0.017955,positive,ARI
win_pct_away,-0.017717,negative,ARI
is_dome_home,-0.009065,negative,ARI
rest_days_away,-0.008312,negative,ARI
rest_days_home,0.006712,positive,ARI
ewm_ypp_home,-0.005626,negative,ARI
prime_time,-0.004341,negative,ARI
ewm_ypp_diff,-0.003777,negative,ARI
rest_days_diff,-0.000834,negative,ARI
ewm_net_pts_away,0.000302,positive,ARI
rest_short_diff,-0.000243,negative,ARI
div_game,-3.1e-05,negative,ARI
