feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.124973,positive,DET
rest_days_diff,0.062489,positive,DET
elo_diff,0.060302,positive,DET
ewm_ypp_away,0.054698,positive,DET
elo_away,-0.050881,negative,DET
ewm_ypp_diff,0.035421,positive,DET
ewm_net_pts_away,0.031004,positive,DET
pace_plays_min_diff,0.026457,positive,DET
travel_miles_diff,-0.021623,negative,DET
altitude_home,0.019672,positive,DET
is_dome_home,-0.019058,negative,DET
ewm_net_pts_home,-0.018897,negative,DET
ewm_ypp_home,0.015917,positive,DET
rest_days_home,-0.009796,negative,DET
div_game,-0.007105,negative,DET
rest_days_away,0.006882,positive,DET
win_pct_diff,-0.003501,negative,DET
win_pct_away,0.002632,positive,DET
prime_time,-0.002431,negative,DET
win_pct_home,0.001395,positive,DET
elo_home,-0.001255,negative,DET
rest_short_diff,-0.000391,negative,DET
