feature,shap_value,signed_effect,perspective_team
elo_diff,-0.127983,negative,LV
win_pct_diff,-0.100071,negative,LV
ewm_ypp_diff,-0.096784,negative,LV
ewm_net_pts_diff,-0.08819,negative,LV
ewm_net_pts_home,-0.075029,negative,LV
ewm_ypp_home,-0.063444,negative,LV
elo_away,-0.050553,negative,LV
pace_plays_min_diff,0.041747,positive,LV
ewm_ypp_away,-0.036153,negative,LV
is_dome_home,-0.031024,negative,LV
elo_home,0.023835,positive,LV
win_pct_away,0.017001,positive,LV
win_pct_home,-0.01427,negative,LV
ewm_net_pts_away,-0.01291,negative,LV
travel_miles_diff,0.009023,positive,LV
altitude_home,-0.006406,negative,LV
rest_days_home,0.004568,positive,LV
div_game,0.003979,positive,LV
rest_days_away,0.0031,positive,LV
prime_time,-0.001989,negative,LV
rest_short_diff,-0.000501,negative,LV
rest_days_diff,-0.000351,negative,LV
