feature,shap_value,signed_effect,perspective_team
win_pct_diff,-0.115729,negative,CHI
ewm_net_pts_diff,-0.098397,negative,CHI
pace_plays_min_diff,0.058439,positive,CHI
ewm_ypp_away,-0.05002,negative,CHI
ewm_ypp_diff,-0.046427,negative,CHI
ewm_ypp_home,0.032792,positive,CHI
elo_away,-0.026786,negative,CHI
win_pct_away,-0.023254,negative,CHI
altitude_home,0.020906,positive,CHI
ewm_net_pts_away,-0.013218,negative,CHI
is_dome_home,0.011492,positive,CHI
travel_miles_diff,-0.010465,negative,CHI
ewm_net_pts_home,0.008784,positive,CHI
elo_home,0.00756,positive,CHI
prime_time,0.005462,positive,CHI
rest_days_home,0.004077,positive,CHI
div_game,0.003343,positive,CHI
rest_days_away,0.002932,positive,CHI
elo_diff,0.001505,positive,CHI
rest_days_diff,-0.001192,negative,CHI
win_pct_home,-0.000936,negative,CHI
rest_short_diff,-0.000159,negative,CHI
