feature,shap_value,signed_effect,perspective_team
win_pct_diff,0.115733,positive,HOU
ewm_net_pts_diff,-0.064531,negative,HOU
elo_away,0.060285,positive,HOU
ewm_net_pts_home,0.058952,positive,HOU
travel_miles_diff,0.053393,positive,HOU
ewm_ypp_away,0.0436,positive,HOU
pace_plays_min_diff,0.03302,positive,HOU
ewm_ypp_home,-0.023315,negative,HOU
win_pct_home,0.018591,positive,HOU
ewm_ypp_diff,-0.018417,negative,HOU
altitude_home,-0.015585,negative,HOU
is_dome_home,-0.009935,negative,HOU
win_pct_away,-0.006202,negative,HOU
rest_days_away,0.004871,positive,HOU
rest_days_home,0.004243,positive,HOU
elo_diff,-0.004128,negative,HOU
elo_home,-0.003409,negative,HOU
ewm_net_pts_away,0.001669,positive,HOU
div_game,0.001086,positive,HOU
rest_days_diff,-0.000976,negative,HOU
prime_time,-0.000417,negative,HOU
rest_short_diff,-0.000358,negative,HOU
