feature,shap_value,signed_effect,perspective_team
elo_diff,0.147409,positive,BUF
ewm_net_pts_diff,0.097029,positive,BUF
win_pct_diff,0.090722,positive,BUF
rest_days_diff,0.057801,positive,BUF
ewm_net_pts_home,0.057067,positive,BUF
elo_home,0.056963,positive,BUF
elo_away,-0.047037,negative,BUF
ewm_ypp_away,-0.043392,negative,BUF
ewm_ypp_diff,-0.0391,negative,BUF
pace_plays_min_diff,0.028452,positive,BUF
travel_miles_diff,0.025372,positive,BUF
altitude_home,-0.016936,negative,BUF
ewm_net_pts_away,-0.016467,negative,BUF
ewm_ypp_home,0.01594,positive,BUF
is_dome_home,0.013691,positive,BUF
win_pct_away,0.012896,positive,BUF
win_pct_home,0.012734,positive,BUF
rest_days_home,-0.008129,negative,BUF
rest_days_away,0.005378,positive,BUF
prime_time,-0.002784,negative,BUF
div_game,0.002414,positive,BUF
rest_short_diff,-0.000595,negative,BUF
