feature,shap_value,signed_effect,perspective_team
elo_diff,0.117443,positive,PIT
ewm_ypp_away,0.09325,positive,PIT
win_pct_diff,0.078334,positive,PIT
travel_miles_diff,0.067679,positive,PIT
ewm_net_pts_diff,-0.040637,negative,PIT
pace_plays_min_diff,0.028168,positive,PIT
ewm_net_pts_away,0.026391,positive,PIT
altitude_home,0.025846,positive,PIT
ewm_ypp_diff,0.020774,positive,PIT
ewm_net_pts_home,-0.017523,negative,PIT
rest_days_away,0.00935,positive,PIT
is_dome_home,0.0087,positive,PIT
elo_home,0.007345,positive,PIT
elo_away,-0.006323,negative,PIT
win_pct_home,0.004684,positive,PIT
win_pct_away,0.003798,positive,PIT
ewm_ypp_home,0.003693,positive,PIT
rest_days_home,0.00231,positive,PIT
div_game,-0.00215,negative,PIT
prime_time,-0.00122,negative,PIT
rest_days_diff,-0.000818,negative,PIT
rest_short_diff,-0.00062,negative,PIT
