feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.157994,positive,DEN
elo_diff,0.114217,positive,DEN
win_pct_diff,0.103068,positive,DEN
ewm_ypp_away,0.102804,positive,DEN
ewm_ypp_diff,0.076189,positive,DEN
ewm_net_pts_home,0.06339,positive,DEN
elo_home,0.046369,positive,DEN
elo_away,-0.033109,negative,DEN
ewm_ypp_home,-0.030936,negative,DEN
win_pct_away,0.018375,positive,DEN
pace_plays_min_diff,0.016479,positive,DEN
ewm_net_pts_away,0.013902,positive,DEN
is_dome_home,0.013483,positive,DEN
rest_days_away,0.012057,positive,DEN
win_pct_home,0.00983,positive,DEN
div_game,-0.003858,negative,DEN
prime_time,-0.002721,negative,DEN
rest_days_home,0.002671,positive,DEN
travel_miles_diff,-0.002343,negative,DEN
rest_days_diff,-0.001251,negative,DEN
altitude_home,0.000423,positive,DEN
rest_short_diff,-0.000421,negative,DEN
