feature,shap_value,signed_effect,perspective_team
ewm_ypp_away,0.110091,positive,DET
ewm_net_pts_diff,-0.090093,negative,DET
win_pct_diff,-0.085273,negative,DET
elo_away,-0.063272,negative,DET
ewm_ypp_diff,0.044133,positive,DET
elo_diff,0.041349,positive,DET
ewm_ypp_home,0.031942,positive,DET
pace_plays_min_diff,0.02806,positive,DET
is_dome_home,-0.023252,negative,DET
win_pct_away,-0.018841,negative,DET
altitude_home,0.016284,positive,DET
travel_miles_diff,0.013964,positive,DET
ewm_net_pts_away,-0.012406,negative,DET
ewm_net_pts_home,-0.010053,negative,DET
win_pct_home,-0.009398,negative,DET
rest_days_away,0.004376,positive,DET
div_game,-0.003991,negative,DET
prime_time,-0.00399,negative,DET
rest_days_home,0.003814,positive,DET
elo_home,-0.002157,negative,DET
rest_days_diff,-7e-05,negative,DET
rest_short_diff,-5e-05,negative,DET
