feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.151392,positive,CIN
elo_diff,0.137041,positive,CIN
ewm_ypp_away,0.090877,positive,CIN
elo_away,0.08743,positive,CIN
ewm_net_pts_home,0.060174,positive,CIN
ewm_ypp_diff,0.058276,positive,CIN
elo_home,0.037866,positive,CIN
ewm_net_pts_away,0.033826,positive,CIN
pace_plays_min_diff,0.031986,positive,CIN
travel_miles_diff,-0.029942,negative,CIN
ewm_ypp_home,0.020453,positive,CIN
is_dome_home,0.011069,positive,CIN
rest_days_away,0.01069,positive,CIN
win_pct_home,0.003472,positive,CIN
rest_days_home,0.003413,positive,CIN
div_game,0.002924,positive,CIN
altitude_home,0.002532,positive,CIN
win_pct_away,0.002483,positive,CIN
win_pct_diff,-0.002157,negative,CIN
prime_time,-0.001979,negative,CIN
rest_days_diff,-0.000342,negative,CIN
rest_short_diff,-0.000143,negative,CIN
