feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.177845,positive,SEA
elo_away,0.089039,positive,SEA
ewm_net_pts_home,0.079881,positive,SEA
win_pct_diff,0.079316,positive,SEA
ewm_ypp_away,0.051853,positive,SEA
ewm_ypp_diff,0.041572,positive,SEA
pace_plays_min_diff,0.03893,positive,SEA
travel_miles_diff,0.035919,positive,SEA
elo_diff,0.032754,positive,SEA
elo_home,0.026288,positive,SEA
ewm_net_pts_away,-0.020467,negative,SEA
ewm_ypp_home,0.014506,positive,SEA
altitude_home,-0.012705,negative,SEA
is_dome_home,0.011301,positive,SEA
win_pct_home,0.008883,positive,SEA
rest_days_away,0.007236,positive,SEA
win_pct_away,-0.006922,negative,SEA
rest_short_diff,0.00692,positive,SEA
rest_days_home,0.006441,positive,SEA
div_game,-0.004424,negative,SEA
rest_days_diff,-0.001272,negative,SEA
prime_time,-0.0012,negative,SEA
