feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,-0.118403,negative,PHI
win_pct_diff,0.079754,positive,PHI
elo_away,0.063421,positive,PHI
travel_miles_diff,0.057722,positive,PHI
pace_plays_min_diff,0.043531,positive,PHI
ewm_ypp_away,0.032235,positive,PHI
ewm_ypp_home,-0.029727,negative,PHI
elo_diff,-0.026243,negative,PHI
altitude_home,-0.02566,negative,PHI
rest_days_diff,-0.024121,negative,PHI
ewm_ypp_diff,-0.019038,negative,PHI
rest_days_away,-0.017848,negative,PHI
elo_home,0.011363,positive,PHI
is_dome_home,0.009679,positive,PHI
win_pct_home,0.006524,positive,PHI
rest_days_home,0.004279,positive,PHI
div_game,-0.001782,negative,PHI
ewm_net_pts_home,-0.00169,negative,PHI
ewm_net_pts_away,0.000979,positive,PHI
win_pct_away,0.000505,positive,PHI
rest_short_diff,-0.00036,negative,PHI
prime_time,-0.000317,negative,PHI
