feature,shap_value,signed_effect,perspective_team
elo_diff,-0.124609,negative,TEN
ewm_net_pts_diff,-0.083616,negative,TEN
ewm_ypp_away,-0.079186,negative,TEN
ewm_net_pts_home,-0.07268,negative,TEN
win_pct_diff,-0.063602,negative,TEN
ewm_ypp_diff,-0.049279,negative,TEN
pace_plays_min_diff,0.047053,positive,TEN
elo_home,0.022465,positive,TEN
ewm_ypp_home,-0.022363,negative,TEN
travel_miles_diff,0.020321,positive,TEN
win_pct_away,-0.018166,negative,TEN
elo_away,-0.017787,negative,TEN
rest_days_home,-0.016641,negative,TEN
is_dome_home,0.013075,positive,TEN
altitude_home,-0.012087,negative,TEN
win_pct_home,-0.010944,negative,TEN
ewm_net_pts_away,0.006064,positive,TEN
div_game,-0.005681,negative,TEN
rest_days_away,-0.005099,negative,TEN
prime_time,-0.001564,negative,TEN
rest_short_diff,-0.000371,negative,TEN
rest_days_diff,-0.000236,negative,TEN
