feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.166622,positive,BAL
ewm_ypp_away,0.152598,positive,BAL
ewm_ypp_diff,0.088405,positive,BAL
elo_away,-0.06536,negative,BAL
ewm_net_pts_home,0.060019,positive,BAL
pace_plays_min_diff,0.042436,positive,BAL
elo_diff,0.028975,positive,BAL
travel_miles_diff,-0.025785,negative,BAL
ewm_net_pts_away,0.021341,positive,BAL
ewm_ypp_home,-0.01936,negative,BAL
rest_days_home,-0.018145,negative,BAL
elo_home,0.016541,positive,BAL
prime_time,0.015294,positive,BAL
win_pct_diff,-0.01204,negative,BAL
altitude_home,-0.011613,negative,BAL
rest_days_diff,-0.010722,negative,BAL
is_dome_home,0.008936,positive,BAL
win_pct_away,0.00678,positive,BAL
win_pct_home,0.004605,positive,BAL
rest_days_away,-0.00434,negative,BAL
div_game,0.00424,positive,BAL
rest_short_diff,9.6e-05,positive,BAL
