feature,shap_value,signed_effect,perspective_team
elo_diff,-0.124011,negative,CIN
ewm_ypp_away,-0.070789,negative,CIN
pace_plays_min_diff,0.062517,positive,CIN
elo_away,-0.058718,negative,CIN
ewm_net_pts_home,0.055925,positive,CIN
ewm_net_pts_diff,0.055734,positive,CIN
ewm_ypp_diff,0.047288,positive,CIN
elo_home,0.024746,positive,CIN
rest_days_away,-0.023434,negative,CIN
travel_miles_diff,-0.018524,negative,CIN
prime_time,0.015353,positive,CIN
win_pct_diff,-0.009703,negative,CIN
win_pct_away,-0.009287,negative,CIN
ewm_ypp_home,0.009158,positive,CIN
rest_days_diff,-0.008875,negative,CIN
is_dome_home,0.008059,positive,CIN
div_game,-0.006227,negative,CIN
ewm_net_pts_away,-0.006061,negative,CIN
rest_days_home,0.004175,positive,CIN
altitude_home,0.003494,positive,CIN
rest_short_diff,-0.000306,negative,CIN
win_pct_home,0.000144,positive,CIN
