feature,shap_value,signed_effect,perspective_team
ewm_ypp_away,-0.123188,negative,WAS
pace_plays_min_diff,0.080747,positive,WAS
elo_home,-0.075587,negative,WAS
ewm_net_pts_diff,-0.065665,negative,WAS
ewm_ypp_diff,-0.054123,negative,WAS
travel_miles_diff,0.043939,positive,WAS
elo_away,0.03049,positive,WAS
ewm_net_pts_away,-0.024917,negative,WAS
rest_days_home,-0.015769,negative,WAS
win_pct_away,0.013595,positive,WAS
win_pct_diff,-0.012868,negative,WAS
altitude_home,-0.012569,negative,WAS
rest_days_diff,-0.010434,negative,WAS
is_dome_home,0.008746,positive,WAS
prime_time,0.007111,positive,WAS
ewm_net_pts_home,-0.0043,negative,WAS
ewm_ypp_home,0.003775,positive,WAS
win_pct_home,-0.001991,negative,WAS
div_game,0.001613,positive,WAS
rest_short_diff,-0.000745,negative,WAS
elo_diff,0.000733,positive,WAS
rest_days_away,-0.000576,negative,WAS
