feature,shap_value,signed_effect,perspective_team
elo_diff,-0.144928,negative,NYG
ewm_ypp_away,-0.09441,negative,NYG
ewm_net_pts_diff,-0.080303,negative,NYG
pace_plays_min_diff,0.072312,positive,NYG
ewm_net_pts_home,0.07096,positive,NYG
ewm_ypp_diff,-0.044207,negative,NYG
elo_home,-0.04063,negative,NYG
win_pct_diff,-0.029211,negative,NYG
altitude_home,-0.02391,negative,NYG
rest_days_home,-0.016486,negative,NYG
elo_away,-0.01607,negative,NYG
win_pct_away,-0.013692,negative,NYG
win_pct_home,0.013129,positive,NYG
is_dome_home,0.011742,positive,NYG
rest_days_diff,-0.00966,negative,NYG
ewm_net_pts_away,0.003797,positive,NYG
rest_days_away,0.003513,positive,NYG
ewm_ypp_home,0.003071,positive,NYG
prime_time,-0.002519,negative,NYG
travel_miles_diff,-0.002216,negative,NYG
div_game,0.001773,positive,NYG
rest_short_diff,-0.000702,negative,NYG
