feature,shap_value,signed_effect,perspective_team
elo_diff,0.112611,positive,DET
ewm_net_pts_diff,-0.063524,negative,DET
elo_away,0.041305,positive,DET
pace_plays_min_diff,0.038314,positive,DET
travel_miles_diff,0.032606,positive,DET
ewm_ypp_diff,0.029483,positive,DET
altitude_home,0.025867,positive,DET
rest_days_diff,-0.022002,negative,DET
rest_days_away,-0.021521,negative,DET
is_dome_home,-0.021474,negative,DET
ewm_ypp_away,0.021065,positive,DET
ewm_net_pts_home,-0.014547,negative,DET
ewm_net_pts_away,0.013996,positive,DET
ewm_ypp_home,0.013749,positive,DET
win_pct_away,0.008659,positive,DET
elo_home,-0.004793,negative,DET
win_pct_diff,-0.004772,negative,DET
rest_days_home,0.003753,positive,DET
prime_time,-0.003077,negative,DET
div_game,0.00082,positive,DET
rest_short_diff,-0.000184,negative,DET
win_pct_home,-1.6e-05,negative,DET
