feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.166837,positive,MIA
elo_diff,0.119846,positive,MIA
ewm_net_pts_home,-0.090919,negative,MIA
ewm_ypp_away,0.081285,positive,MIA
elo_away,0.078084,positive,MIA
ewm_ypp_diff,0.051305,positive,MIA
travel_miles_diff,0.03893,positive,MIA
pace_plays_min_diff,0.03501,positive,MIA
ewm_ypp_home,-0.016893,negative,MIA
elo_home,0.013556,positive,MIA
win_pct_diff,0.010952,positive,MIA
is_dome_home,0.008453,positive,MIA
rest_days_away,0.006325,positive,MIA
div_game,-0.005161,negative,MIA
win_pct_away,0.003542,positive,MIA
prime_time,-0.002057,negative,MIA
rest_days_home,0.002055,positive,MIA
ewm_net_pts_away,-0.00201,negative,MIA
rest_days_diff,-0.000546,negative,MIA
win_pct_home,0.000463,positive,MIA
rest_short_diff,-0.000249,negative,MIA
altitude_home,-0.000233,negative,MIA
