feature,shap_value,signed_effect,perspective_team
elo_diff,-0.178614,negative,DAL
ewm_net_pts_diff,-0.114302,negative,DAL
elo_away,-0.074989,negative,DAL
ewm_net_pts_home,-0.058641,negative,DAL
pace_plays_min_diff,0.052317,positive,DAL
ewm_ypp_away,0.048744,positive,DAL
elo_home,0.043416,positive,DAL
ewm_ypp_diff,0.040738,positive,DAL
ewm_net_pts_away,-0.026473,negative,DAL
win_pct_diff,-0.023658,negative,DAL
altitude_home,0.013325,positive,DAL
win_pct_away,0.012522,positive,DAL
travel_miles_diff,-0.01027,negative,DAL
is_dome_home,-0.008803,negative,DAL
rest_days_away,0.008194,positive,DAL
rest_days_home,0.006164,positive,DAL
win_pct_home,0.004743,positive,DAL
prime_time,-0.004589,negative,DAL
ewm_ypp_home,0.004192,positive,DAL
div_game,-0.003599,negative,DAL
rest_days_diff,-0.000508,negative,DAL
rest_short_diff,0.000217,positive,DAL
