feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.181769,positive,JAX
ewm_net_pts_home,0.119779,positive,JAX
ewm_ypp_away,0.104468,positive,JAX
elo_away,0.08156,positive,JAX
win_pct_diff,0.067628,positive,JAX
travel_miles_diff,0.062319,positive,JAX
ewm_ypp_diff,0.053971,positive,JAX
elo_diff,0.04735,positive,JAX
ewm_net_pts_away,0.037855,positive,JAX
pace_plays_min_diff,0.034787,positive,JAX
elo_home,0.027422,positive,JAX
ewm_ypp_home,0.015289,positive,JAX
win_pct_home,0.013248,positive,JAX
rest_days_away,0.009309,positive,JAX
is_dome_home,0.009258,positive,JAX
win_pct_away,-0.007695,negative,JAX
rest_days_home,0.003761,positive,JAX
div_game,-0.003755,negative,JAX
altitude_home,-0.003613,negative,JAX
prime_time,-0.00118,negative,JAX
rest_short_diff,-0.000225,negative,JAX
rest_days_diff,-9.4e-05,negative,JAX
