feature,shap_value,signed_effect,perspective_team
elo_diff,0.17622,positive,SEA
ewm_net_pts_diff,0.126389,positive,SEA
ewm_ypp_away,-0.097366,negative,SEA
ewm_ypp_diff,-0.071199,negative,SEA
ewm_net_pts_home,0.06581,positive,SEA
elo_home,0.048237,positive,SEA
travel_miles_diff,0.040169,positive,SEA
pace_plays_min_diff,0.035624,positive,SEA
altitude_home,-0.021327,negative,SEA
ewm_net_pts_away,0.016795,positive,SEA
elo_away,0.016323,positive,SEA
rest_days_away,-0.012026,negative,SEA
is_dome_home,0.011606,positive,SEA
prime_time,0.010127,positive,SEA
rest_days_home,-0.009703,negative,SEA
win_pct_away,0.007885,positive,SEA
win_pct_home,0.007751,positive,SEA
rest_days_diff,-0.00473,negative,SEA
ewm_ypp_home,0.004634,positive,SEA
div_game,0.001728,positive,SEA
win_pct_diff,0.001474,positive,SEA
rest_short_diff,-0.000286,negative,SEA
