feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.153377,positive,DEN
elo_diff,0.139591,positive,DEN
ewm_net_pts_home,0.067667,positive,DEN
elo_home,0.039384,positive,DEN
ewm_ypp_away,0.039217,positive,DEN
elo_away,0.028404,positive,DEN
pace_plays_min_diff,0.024785,positive,DEN
ewm_ypp_home,-0.02045,negative,DEN
is_dome_home,0.013821,positive,DEN
travel_miles_diff,0.013599,positive,DEN
ewm_net_pts_away,0.011898,positive,DEN
ewm_ypp_diff,-0.011154,negative,DEN
rest_days_home,-0.010798,negative,DEN
win_pct_home,0.009242,positive,DEN
altitude_home,-0.008236,negative,DEN
win_pct_away,0.007806,positive,DEN
rest_days_away,0.007594,positive,DEN
rest_days_diff,-0.003929,negative,DEN
win_pct_diff,0.002643,positive,DEN
prime_time,-0.001646,negative,DEN
div_game,0.00124,positive,DEN
rest_short_diff,-0.000125,negative,DEN
