feature,shap_value,signed_effect,perspective_team
elo_diff,-0.174925,negative,NYG
travel_miles_diff,-0.109262,negative,NYG
ewm_ypp_away,-0.107914,negative,NYG
pace_plays_min_diff,0.08549,positive,NYG
elo_home,-0.085192,negative,NYG
ewm_net_pts_home,0.075375,positive,NYG
ewm_ypp_diff,-0.05061,negative,NYG
elo_away,-0.041418,negative,NYG
ewm_net_pts_diff,-0.03832,negative,NYG
ewm_net_pts_away,-0.023141,negative,NYG
altitude_home,-0.022203,negative,NYG
win_pct_home,0.011551,positive,NYG
is_dome_home,0.009239,positive,NYG
win_pct_away,0.007157,positive,NYG
win_pct_diff,0.006491,positive,NYG
ewm_ypp_home,0.005066,positive,NYG
rest_days_away,0.003505,positive,NYG
prime_time,-0.003425,negative,NYG
rest_days_diff,-0.003392,negative,NYG
rest_days_home,0.002573,positive,NYG
div_game,0.00053,positive,NYG
rest_short_diff,-0.000414,negative,NYG
