feature,shap_value,signed_effect,perspective_team
ewm_ypp_away,0.088391,positive,CLE
elo_home,-0.077402,negative,CLE
travel_miles_diff,0.070995,positive,CLE
pace_plays_min_diff,0.066766,positive,CLE
ewm_ypp_diff,-0.057636,negative,CLE
ewm_net_pts_diff,-0.055214,negative,CLE
elo_away,0.045581,positive,CLE
elo_diff,0.018102,positive,CLE
win_pct_away,0.014578,positive,CLE
altitude_home,-0.009458,negative,CLE
is_dome_home,0.009381,positive,CLE
ewm_net_pts_away,-0.007072,negative,CLE
win_pct_home,0.006544,positive,CLE
rest_days_home,0.005698,positive,CLE
rest_days_away,0.005267,positive,CLE
ewm_ypp_home,-0.004198,negative,CLE
ewm_net_pts_home,0.004153,positive,CLE
win_pct_diff,0.002647,positive,CLE
prime_time,-0.001758,negative,CLE
div_game,0.001465,positive,CLE
rest_short_diff,-0.00035,negative,CLE
rest_days_diff,-8.2e-05,negative,CLE
