feature,shap_value,signed_effect,perspective_team
elo_diff,-0.128117,negative,GB
ewm_net_pts_diff,-0.093529,negative,GB
ewm_ypp_away,-0.072273,negative,GB
elo_away,-0.05958,negative,GB
pace_plays_min_diff,0.05684,positive,GB
elo_home,0.050073,positive,GB
ewm_net_pts_home,-0.038999,negative,GB
ewm_ypp_diff,-0.038501,negative,GB
ewm_net_pts_away,-0.03615,negative,GB
altitude_home,0.023166,positive,GB
travel_miles_diff,0.017859,positive,GB
win_pct_away,0.01709,positive,GB
ewm_ypp_home,-0.011767,negative,GB
is_dome_home,0.009909,positive,GB
win_pct_diff,-0.009132,negative,GB
prime_time,0.009009,positive,GB
div_game,0.004503,positive,GB
rest_days_home,0.003974,positive,GB
rest_days_away,0.002218,positive,GB
rest_days_diff,-0.001358,negative,GB
rest_short_diff,-0.000452,negative,GB
win_pct_home,0.000313,positive,GB
