feature,shap_value,signed_effect,perspective_team
elo_diff,-0.164576,negative,NYJ
ewm_net_pts_home,-0.138137,negative,NYJ
ewm_net_pts_diff,-0.108348,negative,NYJ
ewm_ypp_diff,-0.053014,negative,NYJ
ewm_ypp_home,-0.052479,negative,NYJ
pace_plays_min_diff,0.04164,positive,NYJ
elo_away,-0.03864,negative,NYJ
elo_home,-0.032782,negative,NYJ
rest_days_diff,0.029592,positive,NYJ
ewm_ypp_away,0.026871,positive,NYJ
travel_miles_diff,-0.025781,negative,NYJ
rest_days_home,-0.023836,negative,NYJ
win_pct_diff,-0.023183,negative,NYJ
altitude_home,-0.013872,negative,NYJ
win_pct_away,0.013567,positive,NYJ
is_dome_home,0.011421,positive,NYJ
win_pct_home,0.006965,positive,NYJ
rest_days_away,0.004031,positive,NYJ
prime_time,-0.003431,negative,NYJ
ewm_net_pts_away,-0.003199,negative,NYJ
div_game,0.002395,positive,NYJ
rest_short_diff,-9.5e-05,negative,NYJ
