feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,-0.080546,negative,SF
pace_plays_min_diff,0.067001,positive,SF
elo_home,0.058293,positive,SF
ewm_net_pts_home,0.056889,positive,SF
elo_away,-0.04279,negative,SF
ewm_ypp_away,-0.028246,negative,SF
win_pct_away,0.020631,positive,SF
ewm_ypp_diff,-0.020452,negative,SF
altitude_home,-0.01668,negative,SF
ewm_ypp_home,0.01266,positive,SF
is_dome_home,0.011467,positive,SF
rest_days_away,-0.009431,negative,SF
ewm_net_pts_away,-0.008322,negative,SF
div_game,-0.004055,negative,SF
win_pct_home,-0.004034,negative,SF
travel_miles_diff,-0.003534,negative,SF
prime_time,-0.003238,negative,SF
rest_days_home,0.002959,positive,SF
win_pct_diff,0.002709,positive,SF
rest_days_diff,-0.00238,negative,SF
rest_short_diff,-0.00066,negative,SF
elo_diff,0.000554,positive,SF
