feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.18158,positive,NE
ewm_ypp_diff,0.155896,positive,NE
ewm_ypp_away,0.149084,positive,NE
ewm_net_pts_home,0.098136,positive,NE
elo_away,-0.057988,negative,NE
ewm_net_pts_away,-0.057211,negative,NE
pace_plays_min_diff,0.047685,positive,NE
elo_diff,-0.040073,negative,NE
travel_miles_diff,0.032736,positive,NE
ewm_ypp_home,0.028117,positive,NE
elo_home,0.016743,positive,NE
prime_time,0.016326,positive,NE
win_pct_away,0.016246,positive,NE
win_pct_diff,-0.015106,negative,NE
is_dome_home,0.009598,positive,NE
rest_days_away,0.008698,positive,NE
rest_days_home,0.008193,positive,NE
win_pct_home,0.006616,positive,NE
div_game,0.004296,positive,NE
altitude_home,0.000473,positive,NE
rest_days_diff,-0.000409,negative,NE
rest_short_diff,3.7e-05,positive,NE
