feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.126995,positive,JAX
ewm_net_pts_home,0.114489,positive,JAX
ewm_ypp_away,-0.099978,negative,JAX
pace_plays_min_diff,0.068911,positive,JAX
elo_away,-0.063506,negative,JAX
elo_diff,-0.05097,negative,JAX
travel_miles_diff,0.027355,positive,JAX
elo_home,0.019023,positive,JAX
rest_days_home,-0.015619,negative,JAX
win_pct_away,0.011958,positive,JAX
prime_time,0.010813,positive,JAX
altitude_home,-0.010417,negative,JAX
is_dome_home,0.009132,positive,JAX
win_pct_diff,-0.008162,negative,JAX
ewm_ypp_diff,-0.007118,negative,JAX
ewm_ypp_home,0.00551,positive,JAX
div_game,0.003623,positive,JAX
rest_days_away,-0.003037,negative,JAX
rest_days_diff,-0.00202,negative,JAX
ewm_net_pts_away,-0.001319,negative,JAX
rest_short_diff,-0.000235,negative,JAX
win_pct_home,2e-05,positive,JAX
