feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.179041,positive,DET
elo_away,0.086781,positive,DET
ewm_ypp_away,0.067573,positive,DET
ewm_ypp_diff,0.060744,positive,DET
ewm_net_pts_away,0.036795,positive,DET
ewm_net_pts_home,-0.025757,negative,DET
elo_diff,0.024345,positive,DET
pace_plays_min_diff,0.0221,positive,DET
ewm_ypp_home,0.017352,positive,DET
altitude_home,0.017326,positive,DET
is_dome_home,-0.01579,negative,DET
elo_home,-0.012609,negative,DET
rest_days_away,0.007478,positive,DET
travel_miles_diff,-0.005945,negative,DET
win_pct_diff,-0.005444,negative,DET
win_pct_away,-0.004556,negative,DET
div_game,0.002374,positive,DET
rest_days_home,0.002104,positive,DET
prime_time,-0.001583,negative,DET
win_pct_home,0.001583,positive,DET
rest_short_diff,-0.000393,negative,DET
rest_days_diff,-0.000374,negative,DET
