feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,-0.115123,negative,WAS
ewm_ypp_away,0.090065,positive,WAS
travel_miles_diff,0.068159,positive,WAS
pace_plays_min_diff,0.060998,positive,WAS
elo_home,-0.058831,negative,WAS
elo_away,0.045513,positive,WAS
elo_diff,0.030668,positive,WAS
ewm_net_pts_away,-0.017191,negative,WAS
win_pct_away,0.013958,positive,WAS
altitude_home,-0.009018,negative,WAS
is_dome_home,0.008646,positive,WAS
ewm_net_pts_home,-0.008119,negative,WAS
ewm_ypp_diff,-0.007039,negative,WAS
ewm_ypp_home,0.005949,positive,WAS
rest_days_home,0.005428,positive,WAS
rest_days_away,0.004768,positive,WAS
win_pct_diff,-0.004476,negative,WAS
win_pct_home,0.002539,positive,WAS
prime_time,-0.001908,negative,WAS
div_game,0.001508,positive,WAS
rest_days_diff,0.000516,positive,WAS
rest_short_diff,-0.000337,negative,WAS
