feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,-0.085362,negative,PIT
pace_plays_min_diff,0.06272,positive,PIT
elo_away,-0.060824,negative,PIT
elo_diff,0.051395,positive,PIT
elo_home,0.046904,positive,PIT
altitude_home,0.03064,positive,PIT
travel_miles_diff,-0.027761,negative,PIT
ewm_ypp_diff,-0.02549,negative,PIT
win_pct_away,0.022795,positive,PIT
ewm_net_pts_away,-0.016112,negative,PIT
ewm_ypp_away,-0.012315,negative,PIT
rest_short_diff,0.01126,positive,PIT
is_dome_home,0.010041,positive,PIT
win_pct_diff,0.008716,positive,PIT
rest_days_home,0.005293,positive,PIT
div_game,-0.004128,negative,PIT
rest_days_away,0.004045,positive,PIT
win_pct_home,-0.002292,negative,PIT
prime_time,-0.00216,negative,PIT
ewm_ypp_home,-0.00192,negative,PIT
rest_days_diff,0.000938,positive,PIT
ewm_net_pts_home,-0.000891,negative,PIT
