feature,shap_value,signed_effect,perspective_team
elo_diff,-0.111589,negative,CAR
ewm_ypp_away,-0.094974,negative,CAR
pace_plays_min_diff,0.086225,positive,CAR
elo_home,-0.080116,negative,CAR
ewm_net_pts_diff,-0.058044,negative,CAR
ewm_ypp_diff,-0.049615,negative,CAR
altitude_home,0.034055,positive,CAR
elo_away,0.033395,positive,CAR
ewm_net_pts_home,-0.027874,negative,CAR
travel_miles_diff,0.027382,positive,CAR
ewm_net_pts_away,-0.01866,negative,CAR
ewm_ypp_home,0.013013,positive,CAR
win_pct_away,0.012754,positive,CAR
win_pct_diff,-0.0111,negative,CAR
is_dome_home,0.008808,positive,CAR
win_pct_home,0.005394,positive,CAR
rest_days_home,0.005098,positive,CAR
rest_days_away,0.003949,positive,CAR
div_game,0.002179,positive,CAR
prime_time,-0.002104,negative,CAR
rest_days_diff,-0.000939,negative,CAR
rest_short_diff,-0.000644,negative,CAR
