feature,shap_value,signed_effect,perspective_team
ewm_ypp_away,-0.108968,negative,PHI
ewm_net_pts_diff,-0.094053,negative,PHI
travel_miles_diff,-0.085955,negative,PHI
pace_plays_min_diff,0.061086,positive,PHI
elo_home,0.052865,positive,PHI
elo_away,-0.051777,negative,PHI
elo_diff,0.041479,positive,PHI
ewm_ypp_diff,-0.025615,negative,PHI
ewm_ypp_home,-0.025012,negative,PHI
win_pct_away,0.020754,positive,PHI
ewm_net_pts_away,-0.019365,negative,PHI
altitude_home,-0.016872,negative,PHI
ewm_net_pts_home,0.012837,positive,PHI
prime_time,0.011599,positive,PHI
is_dome_home,0.011141,positive,PHI
win_pct_diff,-0.00454,negative,PHI
rest_days_home,0.003591,positive,PHI
rest_days_diff,-0.003317,negative,PHI
win_pct_home,-0.002664,negative,PHI
div_game,0.002146,positive,PHI
rest_days_away,0.001478,positive,PHI
rest_short_diff,-0.000325,negative,PHI
