feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.145721,positive,NO
elo_away,0.123591,positive,NO
ewm_ypp_away,0.083998,positive,NO
elo_diff,0.06839,positive,NO
elo_home,-0.06754,negative,NO
ewm_ypp_diff,0.057834,positive,NO
travel_miles_diff,0.048411,positive,NO
ewm_net_pts_home,0.034112,positive,NO
pace_plays_min_diff,0.033381,positive,NO
ewm_ypp_home,0.028238,positive,NO
ewm_net_pts_away,-0.021198,negative,NO
is_dome_home,-0.019187,negative,NO
win_pct_diff,-0.0116,negative,NO
win_pct_away,0.007858,positive,NO
rest_days_away,0.006659,positive,NO
rest_days_home,0.004864,positive,NO
win_pct_home,0.00476,positive,NO
div_game,0.00393,positive,NO
prime_time,-0.000699,negative,NO
rest_days_diff,0.000414,positive,NO
rest_short_diff,-0.000316,negative,NO
altitude_home,0.000301,positive,NO
