feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,0.148474,positive,CHI
ewm_ypp_away,0.071657,positive,CHI
pace_plays_min_diff,0.058621,positive,CHI
elo_away,-0.056894,negative,CHI
elo_diff,-0.045892,negative,CHI
ewm_ypp_diff,0.040489,positive,CHI
elo_home,0.032629,positive,CHI
ewm_net_pts_away,0.031906,positive,CHI
ewm_net_pts_home,0.018095,positive,CHI
altitude_home,0.017261,positive,CHI
ewm_ypp_home,0.015536,positive,CHI
travel_miles_diff,-0.013563,negative,CHI
win_pct_away,0.010537,positive,CHI
win_pct_diff,-0.0081,negative,CHI
is_dome_home,0.008075,positive,CHI
div_game,-0.007894,negative,CHI
rest_days_away,0.007082,positive,CHI
rest_days_home,0.006581,positive,CHI
rest_days_diff,-0.004421,negative,CHI
win_pct_home,0.003891,positive,CHI
prime_time,-0.002846,negative,CHI
rest_short_diff,-1e-05,negative,CHI
