feature,shap_value,signed_effect,perspective_team
ewm_net_pts_diff,-0.130133,negative,PHI
elo_away,-0.04502,negative,PHI
elo_diff,0.0413,positive,PHI
pace_plays_min_diff,0.040619,positive,PHI
elo_home,0.037169,positive,PHI
ewm_ypp_away,0.029941,positive,PHI
ewm_ypp_diff,-0.029286,negative,PHI
win_pct_away,0.021351,positive,PHI
altitude_home,-0.020831,negative,PHI
ewm_net_pts_home,0.018422,positive,PHI
ewm_ypp_home,-0.017268,negative,PHI
travel_miles_diff,0.01695,positive,PHI
is_dome_home,0.01165,positive,PHI
prime_time,0.010839,positive,PHI
rest_days_home,0.00717,positive,PHI
win_pct_diff,-0.006895,negative,PHI
rest_days_away,0.006026,positive,PHI
ewm_net_pts_away,-0.004103,negative,PHI
rest_days_diff,-0.003286,negative,PHI
div_game,0.002144,positive,PHI
win_pct_home,-0.00061,negative,PHI
rest_short_diff,-3.6e-05,negative,PHI
