feature,shap_value,signed_effect,perspective_team
elo_home,-0.052543,negative,ATL
ewm_ypp_diff,-0.052075,negative,ATL
pace_plays_min_diff,0.050253,positive,ATL
ewm_ypp_away,0.050027,positive,ATL
elo_away,0.046407,positive,ATL
ewm_net_pts_diff,-0.01962,negative,ATL
ewm_net_pts_away,0.018745,positive,ATL
win_pct_away,0.01844,positive,ATL
ewm_ypp_home,0.009415,positive,ATL
elo_diff,0.009348,positive,ATL
ewm_net_pts_home,0.007964,positive,ATL
win_pct_diff,0.006865,positive,ATL
travel_miles_diff,0.004937,positive,ATL
is_dome_home,-0.004893,negative,ATL
rest_days_away,0.0047,positive,ATL
rest_days_home,0.004269,positive,ATL
win_pct_home,0.002767,positive,ATL
div_game,-0.001613,negative,ATL
prime_time,-0.001541,negative,ATL
rest_days_diff,-0.00105,negative,ATL
rest_short_diff,-0.000583,negative,ATL
altitude_home,0.000404,positive,ATL
