feature,shap_value,signed_effect,perspective_team
elo_diff,-0.159314,negative,CIN
pace_plays_min_diff,0.076998,positive,CIN
ewm_net_pts_home,0.058562,positive,CIN
elo_away,-0.054251,negative,CIN
ewm_ypp_away,-0.05206,negative,CIN
ewm_ypp_diff,-0.036718,negative,CIN
elo_home,0.032646,positive,CIN
ewm_net_pts_diff,-0.032333,negative,CIN
win_pct_away,0.020035,positive,CIN
ewm_net_pts_away,-0.011418,negative,CIN
is_dome_home,0.008106,positive,CIN
ewm_ypp_home,0.00777,positive,CIN
prime_time,0.007589,positive,CIN
rest_days_home,0.005386,positive,CIN
div_game,-0.004946,negative,CIN
altitude_home,0.004666,positive,CIN
rest_days_away,0.003639,positive,CIN
rest_days_diff,-0.002348,negative,CIN
win_pct_home,0.00178,positive,CIN
travel_miles_diff,-0.000342,negative,CIN
rest_short_diff,-0.000303,negative,CIN
win_pct_diff,-0.000278,negative,CIN
