feature,shap_value,signed_effect,perspective_team
elo_diff,-0.16183,negative,MIA
ewm_net_pts_diff,-0.101333,negative,MIA
ewm_net_pts_home,-0.092026,negative,MIA
elo_away,-0.069845,negative,MIA
ewm_ypp_away,-0.063025,negative,MIA
pace_plays_min_diff,0.062705,positive,MIA
ewm_ypp_diff,-0.031482,negative,MIA
ewm_net_pts_away,-0.028713,negative,MIA
ewm_ypp_home,0.024332,positive,MIA
win_pct_away,0.014304,positive,MIA
win_pct_diff,-0.01304,negative,MIA
is_dome_home,0.011708,positive,MIA
altitude_home,-0.008045,negative,MIA
elo_home,0.007715,positive,MIA
win_pct_home,0.004118,positive,MIA
div_game,-0.003571,negative,MIA
travel_miles_diff,0.002897,positive,MIA
prime_time,-0.002705,negative,MIA
rest_days_away,-0.002643,negative,MIA
rest_days_diff,-0.002608,negative,MIA
rest_days_home,0.002235,positive,MIA
rest_short_diff,-0.000181,negative,MIA
